 | *-customized seq     METH=transmit method     TYPE=control char type      |
 | VK-virtual key       SCAN=scan code                                       |
 | DELAY=delay in ms.   DB-use delay before      DA-use delay after          |
 | EK-extended keybd    GS-group shift           CP-code page chr            |
 | RA-raw ASCII         SC-scan codes            GT-group transmit           |
 *****************************************************************************
 *****************************************************************************
 *****************************************************************************
   Creation Date and Time == 04/15/2016  01:34:29  (date/time may be invalid)
   Version ID String == (NULL)
   Platform Type == POCKET_PC   Heap Size == 0x2000   UseGridMacroDef == 1
 *****************************************************************************
 *****************************************************************************
 *****************************************************************************


 =============================================================================
   m_rgtcsAppKeyName == DEFAULT_APPLICATION  (0x0000)

   m_rgtcsAppWindowName == (NULL)
   ControlKeyDelay == 0x0
   GlobalSynthCharTable == 0x2d 0x23 0x28 0x22 0x25 0x2e 0x27 0x24 0x26 0x21 
 -----------------------------------------------------------------------------
                                  |15-10  9  8  7  6  5  4  3  2  1  0 |
 IDX    METH  TYPE       VK   SCAN|DELAY  DB DA       EK GS CP RA SC GT| Old
 =============================================================================

 0x0042 POST_CHAR PLAIN      0x42 0x30|       0   0       0  0  0  0  0  0 |
 0x0043 POST_CHAR PLAIN      0x43 0x2e|       0   0       0  0  0  0  0  0 |
 0x0044 POST_CHAR PLAIN      0x44 0x20|       0   0       0  0  0  0  0  0 |
 0x0045 POST_CHAR PLAIN      0x45 0x12|       0   0       0  0  0  0  0  0 |
 0x0046 POST_CHAR PLAIN      0x46 0x21|       0   0       0  0  0  0  0  0 |
 0x0047 POST_CHAR PLAIN      0x47 0x22|       0   0       0  0  0  0  0  0 |
 0x0048 POST_CHAR PLAIN      0x48 0x23|       0   0       0  0  0  0  0  0 |
 0x0049 POST_CHAR PLAIN      0x49 0x17|       0   0       0  0  0  0  0  0 |
 0x004a POST_CHAR PLAIN      0x4a 0x24|       0   0       0  0  0  0  0  0 |
 0x004b POST_CHAR PLAIN      0x4b 0x25|       0   0       0  0  0  0  0  0 |
 0x004c POST_CHAR PLAIN      0x4c 0x26|       0   0       0  0  0  0  0  0 |
 0x004d POST_CHAR PLAIN      0x4d 0x32|       0   0       0  0  0  0  0  0 |
 0x004e POST_CHAR PLAIN      0x4e 0x31|       0   0       0  0  0  0  0  0 |
 0x004f POST_CHAR PLAIN      0x4f 0x18|       0   0       0  0  0  0  0  0 |
 0x0050 POST_CHAR PLAIN      0x50 0x19|       0   0       0  0  0  0  0  0 |
 0x0051 POST_CHAR PLAIN      0x51 0x10|       0   0       0  0  0  0  0  0 |
 0x0052 POST_CHAR PLAIN      0x52 0x13|       0   0       0  0  0  0  0  0 |
 0x0053 POST_CHAR PLAIN      0x53 0x1f|       0   0       0  0  0  0  0  0 |
 0x0054 POST_CHAR PLAIN      0x54 0x14|       0   0       0  0  0  0  0  0 |
 0x0055 POST_CHAR PLAIN      0x55 0x16|       0   0       0  0  0  0  0  0 |
 0x0056 POST_CHAR PLAIN      0x56 0x2f|       0   0       0  0  0  0  0  0 |
 0x0057 POST_CHAR PLAIN      0x57 0x11|       0   0       0  0  0  0  0  0 |
 0x0058 POST_CHAR PLAIN      0x58 0x2d|       0   0       0  0  0  0  0  0 |
 0x0059 POST_CHAR PLAIN      0x59 0x15|       0   0       0  0  0  0  0  0 |
 0x005a POST_CHAR PLAIN      0x5a 0x2c|       0   0       0  0  0  0  0  0 |
 0x005b POST_CHAR PLAIN      0xdb 0x1a|       0   0       0  0  0  0  0  0 |
 0x005c POST_CHAR PLAIN      0xdc 0x56|       0   0       0  0  0  0  0  0 |
 0x005d POST_CHAR PLAIN      0xdd 0x1b|       0   0       0  0  0  0  0  0 |
 0x005e POST_CHAR PLAIN      0x36 0x07|       0   0       0  0  0  0  0  0 |
 0x005f POST_CHAR PLAIN      0xbd 0x0c|       0   0       0  0  0  0  0  0 |
 0x0060 POST_CHAR PLAIN      0xc0 0x29|       0   0       0  0  0  0  0  0 |
 0x0061 POST_CHAR PLAIN      0x41 0x1e|       0   0       0  0  0  0  0  0 |
 0x0062 POST_CHAR PLAIN      0x42 0x30|       0   0       0  0  0  0  0  0 |
 0x0063 POST_CHAR PLAIN      0x43 0x2e|       0   0       0  0  0  0  0  0 |
 0x0064 POST_CHAR PLAIN      0x44 0x20|       0   0       0  0  0  0  0  0 |
 0x0065 POST_CHAR PLAIN      0x45 0x12|       0   0       0  0  0  0  0  0 |
 0x0066 POST_CHAR PLAIN      0x46 0x21|       0   0       0  0  0  0  0  0 |
 0x0067 POST_CHAR PLAIN      0x47 0x22|       0   0       0  0  0  0  0  0 |
 0x0068 POST_CHAR PLAIN      0x48 0x23|       0   0       0  0  0  0  0  0 |
 0x0069 POST_CHAR PLAIN      0x49 0x17|       0   0       0  0  0  0  0  0 |
 0x006a POST_CHAR PLAIN      0x4a 0x24|       0   0       0  0  0  0  0  0 |
 0x006b POST_CHAR PLAIN      0x4b 0x25|       0   0       0  0  0  0  0  0 |
 0x006c POST_CHAR PLAIN      0x4c 0x26|       0   0       0  0  0  0  0  0 |
 0x006d POST_CHAR PLAIN      0x4d 0x32|       0   0       0  0  0  0  0  0 |
 0x006e POST_CHAR PLAIN      0x4e 0x31|       0   0       0  0  0  0  0  0 |
 0x006f POST_CHAR PLAIN      0x4f 0x18|       0   0       0  0  0  0  0  0 |
 0x0070 POST_CHAR PLAIN      0x50 0x19|       0   0       0  0  0  0  0  0 |
 0x0071 POST_CHAR PLAIN      0x51 0x10|       0   0       0  0  0  0  0  0 |
 0x0072 POST_CHAR PLAIN      0x52 0x13|       0   0       0  0  0  0  0  0 |
 0x0073 POST_CHAR PLAIN      0x53 0x1f|       0   0       0  0  0  0  0  0 |
 0x0074 POST_CHAR PLAIN      0x54 0x14|       0   0       0  0  0  0  0  0 |
 0x0075 POST_CHAR PLAIN      0x55 0x16|       0   0       0  0  0  0  0  0 |
 0x0076 POST_CHAR PLAIN      0x56 0x2f|       0   0       0  0  0  0  0  0 |
 0x0077 POST_CHAR PLAIN      0x57 0x11|       0   0       0  0  0  0  0  0 |
 0x0078 POST_CHAR PLAIN      0x58 0x2d|       0   0       0  0  0  0  0  0 |
 0x0079 POST_CHAR PLAIN      0x59 0x15|       0   0       0  0  0  0  0  0 |
 0x007a POST_CHAR PLAIN      0x5a 0x2c|       0   0       0  0  0  0  0  0 |
 0x007b POST_CHAR PLAIN      0xdb 0x1a|       0   0       0  0  0  0  0  0 |
 0x007c POST_CHAR PLAIN      0xdc 0x56|       0   0       0  0  0  0  0  0 |
 0x007d POST_CHAR PLAIN      0xdd 0x1b|       0   0       0  0  0  0  0  0 |
 0x007e POST_CHAR PLAIN      0xc0 0x29|       0   0       0  0  0  0  0  0 |
 0x007f POST_NONCHAR PLAIN      0x2e 0x53|       0   0       0  0  0  0  0  0 |
 0x0080 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0081 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0082 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0083 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0084 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0085 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0086 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0087 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0088 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0089 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x008a POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x008b POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x008c POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x008d POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x008e POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x008f POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0090 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0091 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0092 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0093 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0094 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0095 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0096 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
